date,in_bed,asleep,snoring,rhr,hrv,body_weight_lb,other_notes,run_count,bike_count,swim_count,walk_count,strength_count,other_count,tri_session_count,total_session_count,run_miles,bike_miles,swim_miles,training_minutes,tri_training_minutes,total_elevation_ft,avg_hr_all,max_hr_all,avg_power_bike,weighted_power_bike,avg_cadence_bike,avg_cadence_run,avg_pace_run_min_per_mi,sauna_mins,notes
2026-02-27,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,28.3,0,98,84.5,106,,,,,,,
2026-02-26,,,,,,,,1,1,1,3,0,0,3,6,1.64,26.77,1.32,208.4,151.3,1593,118.5,150,134.4,138,100.3,160.8,12.14,,
2026-02-25,,,,,,,,2,0,0,3,0,0,2,5,15.31,0,0,224.8,165.5,268,127.3,168,,,,157.8,10.81,,
2026-02-24,,,,,,,,0,1,0,0,2,0,1,3,0,22.15,0,120.2,58.8,194,145.4,160,153.7,165,100.4,,,,
2026-02-23,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2026-02-22,,,,,,,,1,1,0,1,0,0,2,3,6.05,54.36,0,259.6,232.5,1738,132.3,155,145.6,149,98.6,,9.18,,
2026-02-21,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,23,0,7,89.5,96,,,,,,,
2026-02-20,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,21,0,15,78.8,93,,,,,,,
2026-02-19,,,,,,,,1,0,0,0,0,0,1,1,6.33,0,0,66,66,72,128.6,139,,,,,10.43,,
2026-02-18,,,,,,,,1,0,0,0,0,0,1,1,7.45,0,0,73.4,73.4,68,132.3,177,,,,,9.85,,
2026-02-17,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2026-02-16,,,,,,,,1,0,0,2,0,0,1,3,6.17,0,0,94,57.1,121,115.9,153,,,,,9.24,,
2026-02-15,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2026-02-14,,,,,,,,1,2,0,0,0,0,3,3,10.35,66.72,0,298.1,298.1,574,133.4,154,126.6,125,98.3,,9.63,,
2026-02-13,,,,,,,,0,0,1,1,0,0,1,2,0,0,1.89,92,66.2,95,114.9,152,,,,,,,
2026-02-12,,,,,,,,2,2,1,2,0,0,5,7,3.67,26.85,1.28,299.7,260.2,1409,124.1,165,128.7,130,101.5,160.2,11.26,,
2026-02-11,,,,,,,,1,0,0,1,0,0,1,2,9.02,0,0,113.1,90.8,94,134.2,159,,,,165,10.07,,
2026-02-10,,,,,,,,0,1,1,0,2,0,2,4,0,17.8,1.34,145.3,103.4,151,124.2,145,133.5,135,102.4,,,,
2026-02-09,,,,,,,,0,0,0,1,1,0,0,2,0,0,0,72.1,0,140,88,90,,,,,,,
2026-02-08,,,,,,,,1,1,0,1,0,0,2,3,6.05,64.99,0,301.9,275.5,2163,132.5,159,137.1,140,95.5,,8.98,,
2026-02-07,,,,,,,,1,1,0,1,0,0,2,3,1.93,28.79,0,136.1,111.6,1319,127.8,147,123.3,126,100.2,176.2,10.48,,
2026-02-06,,,,,,,,0,0,1,1,0,0,1,2,0,0,2.13,101.8,76.4,92,120.2,156,,,,,,,
2026-02-05,,,,,,,,0,0,1,1,0,0,1,2,0,0,1.42,78.6,50.1,91,110.4,147,,,,,,,
2026-02-04,,,,,,,,1,0,0,0,0,0,1,1,10.74,0,0,110.2,110.2,0,141.1,165,,,,163,10.25,,
2026-02-03,,,,,,,,0,1,1,3,1,0,2,6,0,20.28,1.42,231.4,105.6,615,120.4,155,146.9,153,97.9,,,,
2026-02-02,,,,,,,,0,0,0,3,2,0,0,5,0,0,0,135.6,0,454,81.8,100,,,,,,,
2026-02-01,,,,,,,,1,0,0,1,0,0,1,2,12.05,0,0,122.7,104.8,295,138.9,174,,,,,8.69,,
2026-01-31,,,,,,,,0,1,0,0,0,0,1,1,0,61.97,0,201.4,201.4,1736,137.1,153,146,149,98.1,,,,
2026-01-30,,,,,,,,0,0,1,1,0,0,1,2,0,0,2.16,102,74.9,96,114.4,147,,,,,,,
2026-01-29,,,,,,,,1,1,1,1,0,0,3,4,2.01,15.22,1.41,149.8,121.7,210,107.7,140,112.1,113,97,157.2,11.81,,
2026-01-28,,,,,,,,2,0,0,1,0,0,2,3,10.43,0,0,132.3,103.8,93,128.6,161,,,,177.2,9.95,,
2026-01-27,,,,,,,,0,2,1,1,0,0,3,4,0,15.1,1.16,161.3,133,451,106.4,140,104.8,107,97.7,,,,
2026-01-26,,,,,,,,0,0,0,1,1,0,0,2,0,0,0,40,0,98,88.3,108,,,,,,,
2026-01-25,,,,,,,,1,1,0,1,0,0,2,3,6.01,55.02,0,255.7,227.9,1489,133.7,151,152.3,155,100.9,,9.21,,
2026-01-24,,,,,,,,1,1,1,1,0,0,3,4,1.93,40.18,1.62,226,200.3,942,131.8,156,121.3,123,99.1,171.8,10.43,,
2026-01-23,,,,,,,,0,0,0,3,0,0,0,3,0,0,0,59.9,0,425,85.5,100,,,,,,,
2026-01-22,,,,,,,,1,1,1,1,2,0,3,6,1.83,16.93,1.21,192.6,122.4,885,122.7,156,142.5,150,100.4,164.6,10.99,,
2026-01-21,,,,,,,,1,0,0,0,0,0,1,1,10.59,0,0,108.2,108.2,1381,136.9,171,,,,,10.22,,
